kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
iomap_v1,8G,read,128k,20250808-205606,1188.0,9503.0,100.11,396.0,4.64,43.39
iomap_v1,8G,read,128k,20250808-205620,1493.0,11900.0,80.09,277.0,3.07,45.11
vanila,8G,read,4k,20250808-212656,449.0,115000.0,7.07,176.0,41.82,45.77
iomap_v1,8G,read,4k,20250808-205550,669.0,171000.0,4.26,63.0,55.95,27.71
iomap_v1,8G,read,128k,20250808-205615,1469.0,11800.0,80.96,277.0,6.03,44.25
vanila,8G,read,100M,20250808-212554,1013.0,10.0,98360.0,123000.0,0.51,95.44
iomap_v1,8G,read,10M,20250808-205443,3290.0,329.0,2997.81,3654.0,1.61,87.1
iomap_v1,8G,read,10M,20250808-205442,3129.0,312.0,3146.52,3949.0,2.77,84.31
vanila,8G,read,1G,20250808-212632,860.0,0.0,,1183000.0,0.5,95.8
vanila,8G,read,100M,20250808-212600,999.0,9.0,99780.0,133000.0,0.1,94.01
