kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
iomap_v1,4G,read,128k,20250811-214512,1048.0,8384.0,107.5,453.0,10.85,83.93
iomap_v1,4G,read,10M,20250811-214149,649.0,64.0,14936.14,28967.0,1.4,93.71
iomap_v1,4G,read,10M,20250811-214215,681.0,68.0,14192.82,36439.0,0.87,93.26
iomap_v1,4G,read,1M,20250811-214132,879.0,878.0,1087.18,1729.0,3.18,92.45
iomap_v1,4G,read,4k,20250811-214441,196.0,50100.0,15.28,88.0,37.74,57.94
iomap_v1,4G,read,10M,20250811-214154,775.0,77.0,12476.54,27132.0,1.44,94.38
iomap_v1,4G,read,100M,20250811-214254,732.0,7.0,133120.0,284000.0,0.44,94.73
iomap_v1,4G,read,4k,20250811-214419,228.0,58400.0,13.1,77.0,37.44,58.98
iomap_v1,4G,read,128k,20250811-214516,1158.0,9266.0,98.22,400.0,7.8,87.8
iomap_v1,4G,read,4k,20250811-214504,178.0,45500.0,17.33,99.0,34.65,61.41
iomap_v1,4G,read,1G,20250811-214322,501.0,0.0,,2022000.0,0.34,95.06
iomap_v1,4G,read,100M,20250811-214220,685.0,6.0,142050.0,205000.0,0.75,94.38
iomap_v1,4G,read,100M,20250811-214233,751.0,7.0,128200.0,220000.0,0.53,95.42
iomap_v1,4G,read,4k,20250811-214411,214.0,54900.0,14.26,84.0,32.79,63.55
iomap_v1,4G,read,1G,20250811-214337,538.0,0.0,,1871000.0,0.58,95.38
iomap_v1,4G,read,4k,20250811-214403,200.0,51200.0,15.13,87.0,34.65,61.07
iomap_v1,4G,read,4k,20250811-214449,221.0,56500.0,13.62,79.0,35.8,60.47
iomap_v1,4G,read,1M,20250811-214105,893.0,892.0,1059.46,1647.0,2.96,93.65
iomap_v1,4G,read,1G,20250811-214308,532.0,0.0,,1888000.0,0.42,95.74
iomap_v1,4G,read,1G,20250811-214341,501.0,0.0,,1989000.0,0.34,95.1
iomap_v1,4G,read,1G,20250811-214346,414.0,0.0,,2433000.0,0.44,92.96
iomap_v1,4G,read,100M,20250811-214224,696.0,6.0,137980.0,271000.0,0.97,93.88
iomap_v1,4G,read,10M,20250811-214202,723.0,72.0,13409.42,30278.0,0.14,94.9
iomap_v1,4G,read,128k,20250811-214546,981.0,7846.0,116.07,494.0,8.9,86.6
iomap_v1,4G,read,100M,20250811-214250,634.0,6.0,151930.0,230000.0,0.7,94.3
iomap_v1,4G,read,1M,20250811-214101,873.0,872.0,1095.31,2040.0,2.81,93.35
iomap_v1,4G,read,4k,20250811-214456,220.0,56300.0,13.6,79.0,37.11,59.37
iomap_v1,4G,read,1G,20250811-214332,534.0,0.0,,1871000.0,0.21,95.72
iomap_v1,4G,read,128k,20250811-214520,1059.0,8471.0,108.06,457.0,10.65,85.11
iomap_v1,4G,read,1M,20250811-214116,887.0,886.0,1082.87,3884.0,6.32,89.87
iomap_v1,4G,read,128k,20250811-214542,927.0,7413.0,121.22,562.0,12.76,81.54
iomap_v1,4G,read,10M,20250811-214207,758.0,75.0,12649.96,33424.0,0.89,94.65
iomap_v1,4G,read,128k,20250811-214535,1028.0,8224.0,109.1,408.0,7.62,87.46
iomap_v1,4G,read,1G,20250811-214313,542.0,0.0,,1854000.0,0.21,95.82
iomap_v1,4G,read,1G,20250811-214303,424.0,0.0,,2366000.0,0.37,95.07
iomap_v1,4G,read,128k,20250811-214538,1023.0,8183.0,112.18,441.0,9.99,85.81
iomap_v1,4G,read,1M,20250811-214124,894.0,893.0,1061.84,1778.0,2.27,93.89
iomap_v1,4G,read,1M,20250811-214120,909.0,909.0,1052.91,1532.0,4.08,92.19
iomap_v1,4G,read,128k,20250811-214531,1072.0,8578.0,106.67,433.0,9.53,85.97
iomap_v1,4G,read,100M,20250811-214245,619.0,6.0,156460.0,275000.0,0.43,93.99
iomap_v1,4G,read,1M,20250811-214109,897.0,896.0,1068.33,1647.0,2.97,93.26
iomap_v1,4G,read,128k,20250811-214527,1075.0,8596.0,104.66,412.0,9.95,85.65
iomap_v1,4G,read,100M,20250811-214258,704.0,7.0,139040.0,232000.0,0.49,95.35
iomap_v1,4G,read,1M,20250811-214029,890.0,889.0,1077.92,1614.0,4.08,92.19
iomap_v1,4G,read,1M,20250811-214128,864.0,864.0,1102.78,1975.0,1.6,94.26
iomap_v1,4G,read,1G,20250811-214317,498.0,0.0,,2022000.0,0.53,95.48
iomap_v1,4G,read,128k,20250811-214523,991.0,7930.0,114.24,498.0,6.97,88.19
iomap_v1,4G,read,4k,20250811-214426,236.0,60400.0,12.79,75.0,36.85,59.37
iomap_v1,4G,read,10M,20250811-214136,773.0,77.0,12486.81,14222.0,0.76,95.16
iomap_v1,4G,read,4k,20250811-214352,137.0,35100.0,21.68,186.0,34.55,58.8
iomap_v1,4G,read,10M,20250811-214158,764.0,76.0,12776.43,25035.0,1.12,94.98
iomap_v1,4G,read,4k,20250811-214433,201.0,51500.0,14.86,88.0,34.7,60.92
iomap_v1,4G,read,100M,20250811-214229,689.0,6.0,140670.0,245000.0,1.03,94.9
iomap_v1,4G,read,1G,20250811-214327,520.0,0.0,,1938000.0,0.41,95.07
iomap_v1,4G,read,100M,20250811-214241,666.0,6.0,145590.0,215000.0,0.73,94.6
iomap_v1,4G,read,100M,20250811-214237,726.0,7.0,134790.0,201000.0,0.8,94.99
iomap_v1,4G,read,10M,20250811-214145,644.0,64.0,14964.2,32375.0,0.76,93.12
iomap_v1,4G,read,10M,20250811-214140,647.0,64.0,14852.18,30802.0,0.95,93.47
iomap_v1,4G,read,1M,20250811-214113,892.0,891.0,1058.06,1532.0,3.92,91.99
iomap_v1,4G,read,10M,20250811-214211,720.0,72.0,13369.54,28181.0,0.78,94.35

